Source,Country,Type,Prod_kt_2022,Prod_kt_est_2023,Prod_notes,Reserves_kt,Reserves_notes,,,,,,
MCS2024,United States,Mine production,22300,22000,Reported quantity in 2022,700000,,,,,,,
MCS2024,Algeria,Mine production,2500,2500,,NA,,,,,,,
MCS2024,Brazil,Mine production,2900,2900,,450000,,,,,,,
MCS2024,Canada,Mine production,2400,2400,,450000,,,,,,,
MCS2024,China,Mine production,12000,12000,,2100000,"Reserves for China, Iran, Pakistan, and Thailand were revised based on Government information",,,,,,
MCS2024,France,Mine production,2000,2400,,350000,,,,,,,
MCS2024,Germany,Mine production,5200,5200,,NA,,,,,,,
MCS2024,India,Mine production,4300,4300,,37000,,,,,,,
MCS2024,Iran,Mine production,16000,16000,,900000,"Reserves for China, Iran, Pakistan, and Thailand were revised based on Government information",,,,,,
MCS2024,Japan,Mine production,4300,4300,,NA,,,,,,,
MCS2024,Mexico,Mine production,5400,5400,,NA,,,,,,,
MCS2024,Oman,Mine production,12000,12000,,NA,,,,,,,
MCS2024,Pakistan,Mine production,1800,1800,,760000,"Reserves for China, Iran, Pakistan, and Thailand were revised based on Government information",,,,,,
MCS2024,Russia,Mine production,4100,4100,,NA,,,,,,,
MCS2024,Saudi Arabia,Mine production,4000,4000,,NA,,,,,,,
MCS2024,Spain,Mine production,11000,11000,,NA,,,,,,,
MCS2024,Thailand,Mine production,10400,10000,,910000,"Reserves for China, Iran, Pakistan, and Thailand were revised based on Government information",,,,,,
MCS2024,Turkey,Mine production,9300,10000,,200000,,,,,,,
MCS2024,Ukraine,Mine production,1800,1500,,NA,,,,,,,
MCS2024,Uzbekistan,Mine production,2000,2000,,NA,,,,,,,
MCS2024,Other countries,Mine production,19000,19000,,           NA,,,,,,,
MCS2024,World total (rounded),Mine production,155000,160000,,"Categorized as ""large""",,,,,,,
